year,sp,id,sex,marked,lifespan,cop,tbl,abl,thorl,thorw,fwl,hwl
2015,CV,cvc,Male,2015-7-3,0,1,46.70333587,39.03767674,7.6665566,2.502061637,32.12222293,31.5593959
2015,CV,cwc,Male,2015-7-3,8,0,47.05397934,38.58691474,8.468376937,2.032444332,32.53021336,32.54120523
2015,CV,cvo,Male,2015-7-3,0,0,47.92592075,40.02974346,7.896202692,2.392680552,33.89249217,34.07176149
2015,CV,cvv,Male,2015-7-3,0,0,45.27618745,37.57329185,7.707035814,2.266421133,31.26606765,31.01278258
2015,CV,cvw,Male,2015-7-3,0,0,44.23622047,36.36660317,7.874472949,2.43500127,32.11871772,31.59176192
2015,CV,cym,Male,2015-7-3,0,0,44.92455338,37.20321311,7.726572686,2.773160613,31.71973584,31.79098933
2015,CV,cyr,Male,2015-7-18,4,0,44.28161036,36.74863263,7.53832021,2.245267124,29.95392219,29.78274702
2015,CV,dbcs,Male,2015-7-21,0,1,46.42211074,38.51250529,7.922711879,2.84020828,31.97139531,31.89679959
2015,CV,dbfc,Male,2015-7-23,0,0,41.21163322,33.95220134,7.262153924,2.626035052,27.63845144,27.57598849
2015,CV,dbgo,Male,2015-7-4,0,1,44.97818559,36.91329693,8.075480484,2.68825671,31.1023114,31.1582783
2015,CV,dbpg,Male,2015-7-7,1,1,45.27567098,37.25343324,8.023186013,2.37152231,30.97120481,30.80356659
2015,CV,dbpr,Male,2015-7-7,0,0,47.25501651,38.84051308,8.428177123,2.43500127,33.08738676,32.9418614
2015,CV,dbrf,Male,2015-7-7,0,0,42.79552959,34.3185124,8.489539412,2.308043349,30.69651173,31.01290534
2015,CV,fcy,Male,2015-7-22,0,0,44.53676657,37.19185928,7.34497079,2.349504699,30.87718017,30.92684574
2015,CV,fgp,Male,2015-6-30,0,0,46.79137245,38.39289645,8.403424774,2.541414783,31.24958302,31.83738041
2015,CV,fov,Male,2015-6-13,0,0,45.42887562,37.63996698,7.790386081,2.264837863,32.37551647,32.25616798
2015,CV,fpdb,Male,2015-6-13,8,0,44.70542291,37.09741766,7.610629921,1.927216154,30.73148336,31.08742486
2015,CV,fup,Male,2015-6-30,1,0,46.33416307,38.37582762,7.958936585,2.476864787,32.59371772,32.55631826
2015,CV,fwdb,Male,2015-7-6,0,0,45.11916434,37.23144526,7.896202692,2.330742528,31.0347515,30.97503387
2015,CV,fwr,Male,2015-6-30,15,0,46.37024384,38.24887393,8.128706291,2.901075269,32.07661925,31.74737744
2015,CV,fvs,Male,2015-6-30,0,0,46.31334349,38.22919313,8.110579121,2.286885107,31.62962281,31.46961307
2015,CV,fyo,Male,2015-6-30,3,0,48.76826264,40.11096436,8.657416815,2.737143341,33.83810431,33.89246677
2015,CV,gco,Male,2015-7-6,0,0,45.91590467,37.95955889,7.958936585,2.351028702,32.72781517,32.50668868
2015,CV,gcy,Male,2015-6-30,0,0,45.86826264,37.50740835,8.360875455,2.582423165,32.36956651,31.66225764
